Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
ergs/kilogram,specific energy,L2/T2,,,POSC,true,erg/kg,ergPkg,erg/kg,,,,,,,,,,,,,,,,,,,,0.0000001,J/kg,,,,,,,,
ergs/cubic metre,normal stress,M/LT2,,,POSC,true,erg/m3,ergPm3,erg/m3,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,0.0000001,J/m3,,,,,,,,
electron volts,energy,L2M/T2,eV,RP66,POSC,true,eV,eV,eV,work,,,,,,,,,,,,,,,,,,,1.602177E-019,J,,,,,,,,
fathoms,depth,L,,,POSC,true,fathom,fathom,fathom,length,,,,,,,,,,,,,,,,,,,1.8288,m,,,,,,,,
femtocoulomb,electric capacity,CT,fC,RP66,POSC,true,fC,fC,fC,electric charge,,electric flux,,,,,,,,,,,,,,,,,1E-015,C,,,,,,,,
UK fluid ounce,volume,L3,flozUK,,POSC,true,fl ozUK,fl_ozUK,fl ozUK,,,,,2,,,,,,,,,,,,,,,0.00002841308,m3,,,,,,,,
US fluid ounces,volume,L3,flozUS,,POSC,true,fl ozUS,fl_ozUS,fl ozUS,,,,,2,,,,,,,,,,,,,,,0.00002957353,m3,,,,,,,,
flops,operations per time,1/T,1/s,RP66,POSC,true,flops,flops,flops,,,,,,,,,,,flops,,,,,,,,,1,1/s,,,,,,,,
UK fluid ounce,volume,L3,fl ozUK,POSC,POSC,true,flozUK,flozUK,flozUK,,,,,,,,,,,,,,,,,,,,0.00002841308,m3,,,,,,,,
US fluid ounces,volume,L3,fl ozUS,POSC,POSC,true,flozUS,flozUS,flozUS,,,,,,,,,,,,,,,,,,,,0.00002957353,m3,,,,,,,,
femtometer,length,L,fm,RP66,POSC,true,fm,fm,fm,breadth,,height,,,thickness,radius,radius of curvature,Cartesian coordinates,diameter,,,,,length of path,distance,wavelength,mean free path,,1E-015,m,,,,,,,,
footcandles,illuminance,BS/L2,,,POSC,true,footcandle,footcandle,footcandle,,,,,,,,,,,,,,,,,,,,10.76391,lx,,,,,,,,
footcandle seconds,light exposure,BST/L2,,,POSC,true,footcandle.s,footcandleTs,footcandle.s,,,,,,,,,,,,,,,,,,,,10.76391,lx.s,,,,,,,,
foot,length,L,ft,RP66,POSC,true,ft,ft,ft,breadth,,height,,,thickness,radius,radius of curvature,Cartesian coordinates,diameter,,,,,length of path,distance,wavelength,mean free path,,0.3048,m,,,,,,,,
foot pounds force,moment of force,L2M/T2,ft.lbf,RP66,POSC,true,ft.lbf,ftTlbf,ft.lbf,moment of couple,,torque,,,,,,,,,,,,,,,,,1.355818,J,,,,,,,,
foot pounds force/barrel,normal stress,M/LT2,ft.lbf/bbl,RP66,POSC,true,ft.lbf/bbl,ftTlbfPbbl,ft.lbf/bbl,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,,J/m3,1.355818,0.1589873,,,,,,
foot pounds force/US gallon,normal stress,M/LT2,ft.lbf/galUS,RP66,POSC,true,ft.lbf/galUS,ftTlbfPgalUS,ft.lbf/galUS,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,358.1692,J/m3,,,,,,,,
foot pounds force/pound mass,specific energy,L2/T2,ft.lbf/lbm,RP66,POSC,true,ft.lbf/lbm,ftTlbfPlbm,ft.lbf/lbm,,,,,,,,,,,,,,,,,,,,,J/kg,1.355818,0.4535924,,,,,,
foot pounds force/minute,heat flow rate,L2M/T3,ft.lbf/min,RP66,POSC,true,ft.lbf/min,ftTlbfPmin,ft.lbf/min,,,,,,,,,,,,,,,,,,,,0.02259697,W,,,,,,,,
foot pounds force/second,heat flow rate,L2M/T3,ft.lbf/s,RP66,POSC,true,ft.lbf/s,ftTlbfPs,ft.lbf/s,,,,,,,,,,,,,,,,,,,,1.355818,W,,,,,,,,
foot-pound mass,mass length,ML,ft.lbm,RP66,POSC,true,ft.lbm,ftTlbm,ft.lbm,,,,,,,,,,,,,,,,,,,,0.1382549,kg.m,,,,,,,,
feet per 100 feet,linear strain,1,,,POSC,true,ft/100ft,ftP100ft,ft/100ft,relative elongation,,scale,,,linear concentration,length per length,,,,,,,,,,,,,0.01,Euc,,,,,,,,
feet/barrel,length per volume,1/L2,ft/bbl,RP66,POSC,true,ft/bbl,ftPbbl,ft/bbl,,,,,,,,,,,,,,,,,,,,1.917134,1/m2,,,,,,,,
feet/day,velocity,L/T,ft/d,RP66,POSC,true,ft/d,ftPd,ft/d,,,,,,,,,,,,,,,,,,,,,m/s,0.3048,86400,,,,,,
feet/degree Fahrenheit,length per temperature,L/K,ft/degF,RP66,POSC,true,ft/degF,ftPdegF,ft/degF,,,,,,,,,,,,,,,,,,,,0.54864,m/K,,,,,,,,
feet per feet,linear strain,1,ft/ft,RP66,POSC,true,ft/ft,ftPft,ft/ft,relative elongation,,scale,,,linear concentration,length per length,,,,,,,,,,,,,1,Euc,,,,,,,,
feet/cubic foot,length per volume,1/L2,ft/ft3,RP66,POSC,true,ft/ft3,ftPft3,ft/ft3,,,,,,,,,,,,,,,,,,,,10.76391,1/m2,,,,,,,,
feet/US gallon,length per volume,1/L2,ft/galUS,RP66,POSC,true,ft/galUS,ftPgalUS,ft/galUS,,,,,,,,,,,,,,,,,,,,80.51964,1/m2,,,,,,,,
feet/hour,velocity,L/T,ft/h,RP66,POSC,true,ft/h,ftPh,ft/h,,,,,,,,,,,,,,,,,,,,,m/s,0.3048,3600,,,,,,
