Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
centiEuclid,dimensionless,1,%,RP66,POSC,true,cEuc,cEuc,cEuc,poisson ratio,,,,,,,,,,%,POSC,,,,,,,,0.01,Euc,,,,,,,,
centesimal minute,plane angle,A,,,POSC,true,cgr,cgr,cgr,,,,,,,,,,,,,,,,,,,,,rad,3.1415926535898,20000,,,,,,
ch,power,L2M/T3,,,POSC,true,ch,ch,ch,,,,,,,,,,,,,,,,,,,,735.499,W,,,,,,,,
ch hours,energy,L2M/T2,,,POSC,true,ch.h,chTh,ch.h,work,,,,,,,,,,,,,,,,,,,2647796,J,,,,,,,,
Benoit chain (1895 A),length,L,,,POSC,true,chBnA,chBnA,chBnA,breadth,,height,,,thickness,radius,Cartesian coordinates,diameter,distance,,,,,,,,,,20.1167824,m,,,,,,,,
Benoit chain (1895 B),length,L,,,POSC,true,chBnB,chBnB,chBnB,breadth,,height,,,thickness,radius,Cartesian coordinates,diameter,distance,,,,,,,,,,,m,792,39.370113,,,,,,
Clarke chain,length,L,,,POSC,true,chCla,chCla,chCla,breadth,,height,,,thickness,radius,Cartesian coordinates,diameter,distance,,,,,,,,,,20.11661949,m,,,,,,,,
Sears chain,length,L,,,POSC,true,chSe,chSe,chSe,breadth,,height,,,thickness,radius,Cartesian coordinates,diameter,distance,,,,,,,,,,,m,792,39.370147,,,,,,
chus,energy,L2M/T2,,,POSC,true,Chu,Chu,Chu,work,,,,,,,,,,,,,,,,,,,1899.101,J,,,,,,,,
US Survey chain,length,L,,,POSC,true,chUS,chUS,chUS,breadth,,height,,,thickness,radius,Cartesian coordinates,diameter,distance,,,,,,,,,,,m,792,39.37,,,,,,
curie,activity (of radioactivity),1/T,Ci,RP66,POSC,true,Ci,Ci,Ci,,,,,,,,,,,curie,POSC,,,,,,,,37000000000,Bq,,,,,,,,
centimetre,length,L,cm,RP66,POSC,true,cm,cm,cm,breadth,,height,,,thickness,radius,radius of curvature,Cartesian coordinates,diameter,,,,,length of path,distance,wavelength,mean free path,,0.01,m,,,,,,,,
centimeter per year,velocity,L/T,cm/a,RP66,POSC,true,cm/a,cmPa,cm/a,,,,,,,,,,,,,,,,,,,,,m/s,0.01,31558150,,,,,,
centimetre/second,velocity,L/T,cm/s,RP66,POSC,true,cm/s,cmPs,cm/s,,,,,,,,,,,,,,,,,,,,0.01,m/s,,,,,,,,
centimetre/second squared,acceleration linear,L/T2,cm/s2,RP66,POSC,true,cm/s2,cmPs2,cm/s2,,,,,,,,,,,,,,,,,,,,0.01,m/s2,,,,,,,,
square centimetre,area,L2,cm2,RP66,POSC,true,cm2,cm2,cm2,,,,,,,,,,,,,,,,,,,,0.0001,m2,,,,,,,,
centimetres squared/gram,mass attenuation coefficient,L2/M,cm2/g,RP66,POSC,true,cm2/g,cm2Pg,cm2/g,,,,,,,,,,,,,,,,,,,,0.1,m2/kg,,,,,,,,
centimetres squared/second,kinematic viscosity,L2/T,cm2/s,RP66,POSC,true,cm2/s,cm2Ps,cm2/s,thermal diffusivity,,area per time,,,,,,,,,,,,,,,,,0.0001,m2/s,,,,,,,,
cubic centimetre,volume,L3,cm3,RP66,POSC,true,cm3,cm3,cm3,,,,,,,,,,,,,,,,,,,,0.000001,m3,,,,,,,,
cubic centimeter per thirty minutes,volume flow rate,L3/T,,,POSC,true,cm3/30min,cm3P30min,cm3/30min,,,,,,,,,,,,,,,,,,,,,m3/s,0.000001,1800,,,,,,
cubic centimeters/ cubic centimetres,volume per volume,1,cm3/cm3,RP66,POSC,true,cm3/cm3,cm3Pcm3,cm3/cm3,,,,,,,,,,,,,,,,,,,,1,Euc,,,,,,,,
cubic centimetres/gram,specific volume,L3/M,cm3/g,RP66,POSC,true,cm3/g,cm3Pg,cm3/g,massic volume,,,,,,,,,,,,,,,,,,,0.001,m3/kg,,,,,,,,
cubic centimeter per hour,volume flow rate,L3/T,cm3/h,RP66,POSC,true,cm3/h,cm3Ph,cm3/h,,,,,,,,,,,,,,,,,,,,,m3/s,0.000001,3600,,,,,,
cubic centimetre/cubic metre,volume per volume,1,cm3/m3,RP66,POSC,true,cm3/m3,cm3Pm3,cm3/m3,,,,,,,,,,,,,,,,,,,,0.000001,Euc,,,,,,,,
cubic centimeter per minute,volume flow rate,L3/T,cm3/min,RP66,POSC,true,cm3/min,cm3Pmin,cm3/min,,,,,,,,,,,,,,,,,,,,,m3/s,0.000001,60,,,,,,
cubic centimeter per second,volume flow rate,L3/T,cm3/s,RP66,POSC,true,cm3/s,cm3Ps,cm3/s,,,,,,,,,,,,,,,,,,,,0.000001,m3/s,,,,,,,,
centimetres fourth,second moment of area,L4,cm4,RP66,POSC,true,cm4,cm4,cm4,,,,,,,,,,,,,,,,,,,,0.00000001,m4,,,,,,,,
cm of water at 4 degC.,force per area,M/LT2,,,POSC,true,cmH2O(4degC),cmH2O(4degC),cmH2O(4degC),pressure,,,,,,,,,,,,,,,,,,,98.0638,Pa,,,,,,,,
centipoise,dynamic viscosity,M/LT,cP,RP66,POSC,true,cP,cP,cP,,,,,,,,,,,,,,,,,,,,0.001,Pa.s,,,,,,,,
ten milli second,time,T,,,POSC,true,cs,cs,cs,,,,,,,,,,,,,,,,,,,,0.01,s,,,,,,,,
centiStoke,kinematic viscosity,L2/T,,,POSC,true,cSt,cSt,cSt,area per time,,,,,,,,,,,,,,,,,,,0.000001,m2/s,,,,,,,,
carat,mass,M,,,POSC,true,ct,ct,ct,,,,,,,,,,,,,,,,,,,,0.0002,kg,,,,,,,,
capture unit,area per volume,1/L,cu,RP66,POSC,true,cu,cu,cu,,,,,,,,,,,,,,,,,,,,0.1,1/m,,,,,,,,
cubic feet,volume,L3,ft3,RP66,POSC,true,cu ft,cu_ft,cu ft,,,,,2,,,,,,"ft3(std,60F)",POSC,,,,,,,,0.02831685,m3,,,,,,,,
cubic inch,volume,L3,in3,RP66,POSC,true,cu in,cu_in,cu in,,,,,2,,,,,,in3,POSC,,,,,,,,0.00001638706,m3,,,,,,,,
cubic yard,volume,L3,1/27 ft3,RP66,POSC,true,cu yd,cu_yd,cu yd,,,,,2,,,,,,yd3,POSC,,,,,,,,0.7645549,m3,,,,,,,,
cubic mile,volume,L3,mi3,RP66,POSC,true,cubem,cubem,cubem,,,,,2,,,,,,mi3,POSC,,,,,,,,4168182000,m3,,,,,,,,
curie,activity (of radioactivity),1/T,Ci,RP66,POSC,true,curie,curie,curie,,,,,2,,,,,,Ci,POSC,,,,,,,,37000000000,Bq,,,,,,,,
cheval vapeur,power,L2M/T3,,,POSC,true,CV,CV,CV,,,,,,,,,,,,,,,,,,,,735.499,W,,,,,,,,
CV hours,energy,L2M/T2,,,POSC,true,CV.h,CVTh,CV.h,work,,,,,,,,,,,,,,,,,,,2647796,J,,,,,,,,
UK hundredweight,mass,M,,,POSC,true,cwtUK,cwtUK,cwtUK,,,,,,,,,,,,,,,,,,,,50.80235,kg,,,,,,,,
US hundredweight,mass,M,,,POSC,true,cwtUS,cwtUS,cwtUS,,,,,,,,,,,,,,,,,,,,45.35924,kg,,,,,,,,
darcy,permeability rock,L2,D,RP66,POSC,true,D,D,D,,,,,,,,,,,,,,,,,,,,0.000000000000986923,m2,,,,,,,,
day,time,T,d,RP66,POSC,true,d,d,d,,,,,,,,,,,,,,,,,,,,86400,s,,,,,,,,
darcy foot,permeability length,L3,D.ft,RP66,POSC,true,D.ft,DTft,D.ft,,,,,,,,,,,,,,,,,,,,0.0000000000003008141,m3,,,,,,,,
darcy metre,permeability length,L3,D.m,RP66,POSC,true,D.m,DTm,D.m,,,,,,,,,,,,,,,,,,,,0.000000000000986923,m3,,,,,,,,
day per barrel,time per volume,T/L3,d/bbl,RP66,POSC,true,d/bbl,dPbbl,d/bbl,,,,,,,,,,,,,,,,,,,,,s/m3,86400,0.1589873,,,,,,
days/cubic foot,time per volume,T/L3,d/ft3,RP66,POSC,true,d/ft3,dPft3,d/ft3,,,,,,,,,,,,,,,,,,,,,s/m3,86400,0.028316846592,,,,,,
day per thousand cubic feet,time per volume,T/L3,,,POSC,true,d/k(ft3),dPk(ft3),d/k(ft3),,,,,,,,,,,,,,,,,,,,,s/m3,86400,28.316846592,,,,,,
days/cubic metre,time per volume,T/L3,d/m3,RP66,POSC,true,d/m3,dPm3,d/m3,,,,,,,,,,,,,,,,,,,,86400,s/m3,,,,,,,,
decanewtons,force,LM/T2,,,POSC,true,daN,daN,daN,,,,,,,,,,,,,,,,,,,,10,N,,,,,,,,
decanewton metres,moment of force,L2M/T2,,,POSC,true,daN.m,daNTm,daN.m,moment of couple,,torque,,,,,,,,,,,,,,,,,10,J,,,,,,,,
API gravity,density,M/L3,dAPI,RP66,POSC,true,dAPI,dAPI,dAPI,mass density,,volumic mass,,,,,,,,,,,,,,,,,,kg/m3,,,141500,0,131.5,1,,
decibel,level of power intensity,1,dB,RP66,POSC,true,dB,dB,dB,,,,,,,,,,,,,,,,,,,,0.1,B,,,,,,,,
decibels/foot,attenuation per length,1/L,dB/ft,RP66,POSC,true,dB/ft,dBPft,dB/ft,,,,,,,,,,,,,,,,,,,,,B/m,0.1,0.3048,,,,,,
decibels/metre,attenuation per length,1/L,dB/m,RP66,POSC,true,dB/m,dBPm,dB/m,,,,,,,,,,,,,,,,,,,,0.1,B/m,,,,,,,,
decibels/kilometre,attenuation per length,1/L,dB/km,RP66,POSC,true,dB/km,dBPkm,dB/km,,,,,,,,,,,,,,,,,,,,0.0001,B/m,,,,,,,,
decibels/octave,attenuation,1,,,POSC,true,dB/O,dBPO,dB/O,,,,,,,,,,,,,,,,,,,,0.1,B/O,,,,,,,,
change in degrees Celsius,delta temperature,K,degC,RP66,POSC,true,ddegC,ddegC,ddegC,,,,,,,,,,,,,,,,,,,,1,K,,,,,,,,
change in degrees Fahrenheit,delta temperature,K,degF,RP66,POSC,true,ddegF,ddegF,ddegF,,,,,,,,,,,,,,,,,,,,,K,5,9,,,,,,
change in degrees Kelvin,delta temperature,K,K,RP66,POSC,true,ddegK,ddegK,ddegK,,,,,,,,,,,,,,,,,,,,1,K,,,,,,,,
change in degrees Rankine,delta temperature,K,degR,RP66,POSC,true,ddegR,ddegR,ddegR,,,,,,,,,,,,,,,,,,,,,K,5,9,,,,,,
degree of an angle,plane angle,A,dega,RP66,POSC,true,dega,dega,dega,,,,,,,,,,,,,,,,,,,,0.01745329,rad,,,,,,,,
degrees of an angle/100 feet,angle per length,A/L,dega/ft(100),POSC,POSC,true,dega/100ft,degaP100ft,dega/100ft,,,,,,,,,,,,,,,,,,,,,rad/m,0.01745329,30.48,,,,,,
degrees of an angle per thirty feet,angle per length,A/L,,,POSC,true,dega/30ft,degaP30ft,dega/30ft,,,,,,,,,,,,,,,,,,,,,rad/m,0.01745329,9.144,,,,,,
degrees of an angle/30 metres,angle per length,A/L,,,POSC,true,dega/30m,degaP30m,dega/30m,,,,,,,,,,,,,,,,,,,,,rad/m,0.01745329,30,,,,,,
degrees of an angle/foot,angle per length,A/L,dega/ft,RP66,POSC,true,dega/ft,degaPft,dega/ft,,,,,,,,,,,,,,,,,,,,,rad/m,0.01745329,0.3048,,,,,,
degrees of an angle/100 feet,angle per length,A/L,dega/100ft,POSC,POSC,true,dega/ft(100),degaPft(100),dega/ft(100),,,,,2,,,,,,,,,,,,,,,,rad/m,0.01745329,30.48,,,,,,
degrees of an angle per hour,rotational frequency,A/T,dega/h,RP66,POSC,true,dega/h,degaPh,dega/h,circular frequency,,angle per time,,,rotational velocity,,,,,,,,,,,,,,,rad/s,0.01745329,3600,,,,,,
degrees of an angle/metre,angle per length,A/L,dega/m,RP66,POSC,true,dega/m,degaPm,dega/m,,,,,,,,,,,,,,,,,,,,0.01745329,rad/m,,,,,,,,
degrees of an angle/30 metres,angle per length,A/L,,,POSC,true,dega/m(30),degaPm(30),dega/m(30),,,,,2,,,,,,,,,,,,,,,,rad/m,0.01745329,30,,,,,,
degrees of an angle/minute,rotational frequency,A/T,dega/min,RP66,POSC,true,dega/min,degaPmin,dega/min,circular frequency,,angle per time,,,rotational velocity,,,,,,,,,,,,,,,rad/s,0.01745329,60,,,,,,
degrees of an angle per second,rotational frequency,A/T,dega/s,RP66,POSC,true,dega/s,degaPs,dega/s,circular frequency,,angle per time,,,,,,,,,,,,,,,,,0.01745329,rad/s,,,,,,,,
degrees Celsius,thermodynamic temperature,K,degC,RP66,POSC,true,degC,degC,degC,,,,,,,,,,,,,,,,,,,,,K,,,273.15,1,1,0,,
